,score,height (cm),climbing length,age
0,1153.8,164.0,19,29
1,1123.0,162.0,9,17
5,1090.9,170.0,23,27
7,1085.5,158.0,38,38
8,1085.0,164.0,20,35
9,1082.1,158.0,18,25
11,1077.1,153.0,23,25
12,1065.3,162.0,20,32
13,1065.0,170.0,14,27
15,1050.0,175.0,18,25
16,1045.6,157.0,17,25
19,1025.3,174.0,22,50
20,1025.0,166.0,22,32
22,1020.0,155.0,6,22
23,1020.0,165.0,11,21
25,1015.0,170.0,16,23
27,1010.0,160.0,22,44
29,1010.0,164.0,16,28
30,1006.2,181.0,17,35
31,1005.3,165.0,6,20
33,1005.0,161.0,16,30
34,1000.8,160.0,13,34
36,1000.6,165.0,14,21
39,995.3,162.0,16,22
40,995.0,160.0,16,38
43,988.8,167.0,6,25
44,985.3,168.0,22,28
45,985.2,162.0,28,43
47,985.0,171.0,16,25
54,975.6,165.0,24,48
55,975.2,168.0,10,26
56,975.1,167.0,14,24
58,975.0,169.0,17,25
59,974.7,147.0,8,19
60,974.0,157.0,23,39
61,970.2,165.0,14,34
62,970.0,170.0,23,36
63,970.0,160.0,25,35
64,970.0,157.0,14,34
65,970.0,163.0,20,44
66,969.8,158.0,10,17
67,969.8,155.0,26,30
68,969.7,162.0,27,32
69,968.8,158.0,42,61
75,965.0,160.0,23,47
76,965.0,163.0,10,34
78,960.6,164.0,24,44
79,960.3,163.0,21,33
80,960.3,175.0,9,21
81,960.3,172.0,14,26
82,960.0,178.0,19,33
84,960.0,167.0,11,40
87,960.0,170.0,6,28
88,955.7,160.0,21,43
89,955.5,162.0,5,22
90,955.3,163.0,20,36
91,955.3,166.0,17,26
93,955.3,160.0,10,22
94,955.0,158.0,6,20
95,955.0,172.0,10,32
97,950.5,169.0,10,21
99,950.2,162.0,13,28
101,950.0,151.0,12,33
102,948.8,145.0,26,45
106,945.6,163.0,11,21
107,945.5,163.0,17,18
108,945.3,161.0,10,26
109,945.3,162.0,11,31
111,945.2,168.0,15,32
113,945.0,173.0,9,32
114,945.0,174.0,23,39
115,945.0,158.0,10,37
116,944.7,154.0,12,19
117,940.6,160.0,16,38
118,940.3,168.0,14,39
119,940.2,144.0,10,20
121,940.0,161.0,15,25
122,935.6,172.0,17,22
128,935.0,150.0,19,43
129,935.0,152.0,27,43
133,930.3,159.0,11,18
134,930.3,169.0,10,34
136,930.3,157.0,13,35
140,930.0,160.0,16,30
142,930.0,157.0,14,33
143,930.0,152.0,22,28
144,926.0,165.0,14,34
147,925.3,161.0,21,36
148,925.0,162.0,12,25
149,925.0,156.0,22,49
